0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,3,0,1,5,5,5,5,5,5,5,1,1,0,0,0,0,0,0,0,0,
0,0,0,0,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,3,0,0,1,5,5,5,5,1,1,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,3,5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,3,0,0,0,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,3,5,5,5,5,5,4,4,4,4,4,3,5,5,5,5,5,5,3,0,0,0,0,1,5,5,3,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,3,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,3,0,0,0,1,3,5,5,3,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,1,4,5,5,3,5,5,5,5,5,5,3,5,5,5,5,5,5,5,3,3,0,1,7,5,5,5,5,3,0,0,0,0,0,0,0,0,0,0,
0,0,0,1,5,5,5,4,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,3,0,7,7,7,5,3,3,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,1,5,5,5,5,3,5,5,5,5,3,5,5,5,5,4,3,5,5,5,3,3,7,7,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,1,3,5,5,5,3,5,5,5,3,5,5,5,5,4,3,5,5,5,4,3,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,1,3,5,5,5,4,5,5,5,3,4,5,5,4,3,5,5,5,5,4,3,0,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,1,3,4,5,5,4,3,5,5,4,3,4,4,3,4,5,5,5,4,4,4,3,3,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1,5,4,3,4,4,3,5,5,5,5,4,3,3,4,5,5,5,5,4,4,4,3,0,1,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,
0,1,3,5,5,4,3,3,4,5,5,5,5,5,4,4,5,5,5,5,4,4,4,4,3,3,7,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,
0,1,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,3,3,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,1,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,5,4,5,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,1,1,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1,1,4,7,7,7,7,1,0,0,0,0,0,1,3,7,7,4,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,1,5,7,5,4,1,1,1,0,0,0,0,0,0,0,1,1,3,4,4,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
